time:0.8678 rot_x:-0.60 gyro_x:15.49 last_x:-2.78 rot_y:4.69 gyro_x:21.44 last_y:5.61 
time:0.8752 rot_x:1.58 gyro_x:15.77 last_x:-2.41 rot_y:0.02 gyro_x:21.66 last_y:5.70 
time:0.8826 rot_x:1.11 gyro_x:15.93 last_x:-2.18 rot_y:-0.20 gyro_x:21.73 last_y:5.66 
time:0.8900 rot_x:-2.75 gyro_x:15.93 last_x:-2.20 rot_y:1.21 gyro_x:21.68 last_y:5.52 
time:0.8973 rot_x:-5.64 gyro_x:15.82 last_x:-2.37 rot_y:1.70 gyro_x:21.54 last_y:5.31 
time:0.9047 rot_x:-6.74 gyro_x:15.70 last_x:-2.57 rot_y:0.64 gyro_x:21.45 last_y:5.12 
time:0.9120 rot_x:-8.24 gyro_x:15.67 last_x:-2.72 rot_y:-1.07 gyro_x:21.42 last_y:4.97 
time:0.9194 rot_x:-6.63 gyro_x:15.73 last_x:-2.74 rot_y:-0.44 gyro_x:21.48 last_y:4.92 
time:0.9270 rot_x:-8.68 gyro_x:15.90 last_x:-2.70 rot_y:1.20 gyro_x:21.60 last_y:4.97 
time:0.9347 rot_x:-8.54 gyro_x:16.10 last_x:-2.61 rot_y:1.72 gyro_x:21.75 last_y:5.05 
time:0.9421 rot_x:-6.58 gyro_x:16.30 last_x:-2.49 rot_y:-0.42 gyro_x:21.90 last_y:5.08 
time:0.9495 rot_x:-5.54 gyro_x:16.50 last_x:-2.36 rot_y:-2.54 gyro_x:22.03 last_y:5.06 
time:0.9569 rot_x:-5.29 gyro_x:16.68 last_x:-2.24 rot_y:-3.27 gyro_x:22.13 last_y:4.99 
time:0.9642 rot_x:-5.51 gyro_x:16.82 last_x:-2.17 rot_y:-3.10 gyro_x:22.20 last_y:4.90 
time:0.9716 rot_x:-4.31 gyro_x:16.94 last_x:-2.10 rot_y:-2.67 gyro_x:22.26 last_y:4.80 
time:0.9790 rot_x:-4.00 gyro_x:17.02 last_x:-2.06 rot_y:-1.97 gyro_x:22.30 last_y:4.71 
time:0.9864 rot_x:-4.96 gyro_x:17.07 last_x:-2.06 rot_y:-1.79 gyro_x:22.34 last_y:4.62 
time:0.9938 rot_x:-7.41 gyro_x:17.13 last_x:-2.12 rot_y:-1.74 gyro_x:22.37 last_y:4.52 
time:1.0011 rot_x:-7.36 gyro_x:17.17 last_x:-2.18 rot_y:-2.54 gyro_x:22.44 last_y:4.45 
time:1.0085 rot_x:-7.63 gyro_x:17.24 last_x:-2.22 rot_y:-3.34 gyro_x:22.52 last_y:4.37 
time:1.0159 rot_x:-7.19 gyro_x:17.29 last_x:-2.27 rot_y:-2.96 gyro_x:22.60 last_y:4.30 
time:1.0232 rot_x:-5.39 gyro_x:17.36 last_x:-2.26 rot_y:-0.77 gyro_x:22.63 last_y:4.23 
time:1.0306 rot_x:-9.74 gyro_x:17.41 last_x:-2.36 rot_y:0.89 gyro_x:22.66 last_y:4.20 
time:1.0380 rot_x:-10.32 gyro_x:17.49 last_x:-2.45 rot_y:1.36 gyro_x:22.68 last_y:4.15 
time:1.0453 rot_x:-7.82 gyro_x:17.59 last_x:-2.45 rot_y:1.52 gyro_x:22.75 last_y:4.17 
time:1.0531 rot_x:-8.33 gyro_x:17.76 last_x:-2.41 rot_y:1.19 gyro_x:22.86 last_y:4.22 
time:1.0608 rot_x:-7.76 gyro_x:17.92 last_x:-2.35 rot_y:0.18 gyro_x:23.00 last_y:4.28 
time:1.0682 rot_x:-2.95 gyro_x:18.07 last_x:-2.22 rot_y:-0.52 gyro_x:23.09 last_y:4.27 
time:1.0755 rot_x:-2.02 gyro_x:18.16 last_x:-2.13 rot_y:-0.67 gyro_x:23.13 last_y:4.21 
time:1.0829 rot_x:-4.76 gyro_x:18.23 last_x:-2.11 rot_y:0.22 gyro_x:23.12 last_y:4.12 
time:1.0903 rot_x:-5.43 gyro_x:18.30 last_x:-2.11 rot_y:1.29 gyro_x:23.16 last_y:4.11 
time:1.0977 rot_x:-6.19 gyro_x:18.41 last_x:-2.08 rot_y:1.37 gyro_x:23.23 last_y:4.12 
time:1.1051 rot_x:-5.85 gyro_x:18.50 last_x:-2.07 rot_y:0.79 gyro_x:23.32 last_y:4.14 
time:1.1125 rot_x:-6.06 gyro_x:18.59 last_x:-2.06 rot_y:-0.21 gyro_x:23.36 last_y:4.09 
time:1.1199 rot_x:-5.57 gyro_x:18.67 last_x:-2.06 rot_y:0.76 gyro_x:23.35 last_y:4.01 
time:1.1273 rot_x:-6.01 gyro_x:18.72 last_x:-2.08 rot_y:0.41 gyro_x:23.37 last_y:3.96 
time:1.1347 rot_x:-5.07 gyro_x:18.83 last_x:-2.04 rot_y:-0.10 gyro_x:23.39 last_y:3.90 
time:1.1421 rot_x:-5.47 gyro_x:18.95 last_x:-1.99 rot_y:-0.00 gyro_x:23.45 last_y:3.88 
time:1.1495 rot_x:-5.63 gyro_x:19.11 last_x:-1.91 rot_y:2.31 gyro_x:23.48 last_y:3.88 
time:1.1569 rot_x:-9.81 gyro_x:19.26 last_x:-1.91 rot_y:2.13 gyro_x:23.51 last_y:3.87 
time:1.1642 rot_x:-8.87 gyro_x:19.43 last_x:-1.88 rot_y:-0.51 gyro_x:23.56 last_y:3.83 
time:1.1716 rot_x:-5.85 gyro_x:19.64 last_x:-1.76 rot_y:-3.85 gyro_x:23.63 last_y:3.75 
time:1.1790 rot_x:-2.91 gyro_x:19.86 last_x:-1.57 rot_y:-5.40 gyro_x:23.70 last_y:3.63 
time:1.1864 rot_x:-0.67 gyro_x:20.04 last_x:-1.37 rot_y:-4.48 gyro_x:23.74 last_y:3.51 
time:1.1938 rot_x:0.11 gyro_x:20.16 last_x:-1.23 rot_y:-1.43 gyro_x:23.70 last_y:3.37 
time:1.2012 rot_x:-0.56 gyro_x:20.20 last_x:-1.17 rot_y:2.84 gyro_x:23.61 last_y:3.28 
time:1.2085 rot_x:-4.22 gyro_x:20.19 last_x:-1.24 rot_y:4.68 gyro_x:23.48 last_y:3.18 
time:1.2159 rot_x:-3.32 gyro_x:20.18 last_x:-1.30 rot_y:5.19 gyro_x:23.40 last_y:3.13 
time:1.2233 rot_x:-4.53 gyro_x:20.25 last_x:-1.29 rot_y:4.74 gyro_x:23.39 last_y:3.16 
time:1.2307 rot_x:-7.26 gyro_x:20.42 last_x:-1.25 rot_y:2.01 gyro_x:23.49 last_y:3.24 
time:1.2381 rot_x:-4.15 gyro_x:20.64 last_x:-1.09 rot_y:-2.00 gyro_x:23.65 last_y:3.28 
time:1.2454 rot_x:-1.71 gyro_x:20.87 last_x:-0.87 rot_y:-4.44 gyro_x:23.80 last_y:3.28 
time:1.2528 rot_x:-1.43 gyro_x:21.04 last_x:-0.72 rot_y:-5.36 gyro_x:23.91 last_y:3.21 
time:1.2602 rot_x:-1.83 gyro_x:21.12 last_x:-0.67 rot_y:-4.60 gyro_x:23.91 last_y:3.06 
time:1.2676 rot_x:-4.45 gyro_x:21.10 last_x:-0.75 rot_y:-2.88 gyro_x:23.84 last_y:2.87 
time:1.2750 rot_x:-6.32 gyro_x:21.08 last_x:-0.89 rot_y:-0.56 gyro_x:23.74 last_y:2.70 
time:1.2824 rot_x:-7.79 gyro_x:21.06 last_x:-1.05 rot_y:0.75 gyro_x:23.68 last_y:2.61 
time:1.2898 rot_x:-9.90 gyro_x:21.09 last_x:-1.20 rot_y:-0.67 gyro_x:23.69 last_y:2.55 
time:1.2971 rot_x:-7.36 gyro_x:21.19 last_x:-1.22 rot_y:-1.56 gyro_x:23.76 last_y:2.53 
time:1.3045 rot_x:-5.18 gyro_x:21.34 last_x:-1.15 rot_y:-2.53 gyro_x:23.85 last_y:2.53 
time:1.3118 rot_x:-5.07 gyro_x:21.51 last_x:-1.07 rot_y:-2.83 gyro_x:23.92 last_y:2.49 
time:1.3192 rot_x:-6.26 gyro_x:21.67 last_x:-1.01 rot_y:-2.95 gyro_x:23.98 last_y:2.44 
time:1.3266 rot_x:-6.05 gyro_x:21.82 last_x:-0.96 rot_y:-3.02 gyro_x:24.04 last_y:2.39 
time:1.3340 rot_x:-6.31 gyro_x:21.96 last_x:-0.93 rot_y:-2.83 gyro_x:24.10 last_y:2.34 
time:1.3413 rot_x:-5.28 gyro_x:22.05 last_x:-0.93 rot_y:-2.31 gyro_x:24.14 last_y:2.28 
time:1.3487 rot_x:-4.49 gyro_x:22.10 last_x:-0.96 rot_y:-1.17 gyro_x:24.12 last_y:2.20 
time:1.3561 rot_x:-5.00 gyro_x:22.10 last_x:-1.04 rot_y:0.35 gyro_x:24.07 last_y:2.11 
time:1.3634 rot_x:-5.82 gyro_x:22.09 last_x:-1.14 rot_y:1.06 gyro_x:24.02 last_y:2.04 
time:1.3709 rot_x:-6.64 gyro_x:22.11 last_x:-1.23 rot_y:1.71 gyro_x:23.99 last_y:2.01 
time:1.3782 rot_x:-7.86 gyro_x:22.19 last_x:-1.29 rot_y:1.61 gyro_x:24.00 last_y:2.01 
time:1.3855 rot_x:-7.38 gyro_x:22.29 last_x:-1.31 rot_y:0.82 gyro_x:24.05 last_y:2.03 
time:1.3929 rot_x:-6.05 gyro_x:22.43 last_x:-1.27 rot_y:0.37 gyro_x:24.09 last_y:2.04 
time:1.4003 rot_x:-3.95 gyro_x:22.59 last_x:-1.16 rot_y:-1.06 gyro_x:24.12 last_y:2.01 
time:1.4077 rot_x:-2.65 gyro_x:22.76 last_x:-1.02 rot_y:0.28 gyro_x:24.12 last_y:1.97 
time:1.4150 rot_x:-3.67 gyro_x:22.95 last_x:-0.89 rot_y:0.30 gyro_x:24.10 last_y:1.92 
time:1.4224 rot_x:-2.39 gyro_x:23.16 last_x:-0.71 rot_y:0.03 gyro_x:24.11 last_y:1.89 
time:1.4297 rot_x:-1.13 gyro_x:23.39 last_x:-0.50 rot_y:-1.21 gyro_x:24.16 last_y:1.88 
time:1.4371 rot_x:0.19 gyro_x:23.60 last_x:-0.29 rot_y:-1.30 gyro_x:24.20 last_y:1.85 
time:1.4444 rot_x:0.55 gyro_x:23.75 last_x:-0.12 rot_y:-0.98 gyro_x:24.18 last_y:1.78 
time:1.4518 rot_x:-2.31 gyro_x:23.85 last_x:-0.06 rot_y:-0.45 gyro_x:24.09 last_y:1.64 
time:1.4592 rot_x:-3.44 gyro_x:23.91 last_x:-0.07 rot_y:0.38 gyro_x:23.98 last_y:1.51 
time:1.4667 rot_x:-5.44 gyro_x:23.98 last_x:-0.11 rot_y:-1.43 gyro_x:23.90 last_y:1.37 
time:1.4740 rot_x:-5.50 gyro_x:24.09 last_x:-0.11 rot_y:-4.36 gyro_x:23.85 last_y:1.21 
time:1.4814 rot_x:-3.35 gyro_x:24.24 last_x:-0.03 rot_y:-7.61 gyro_x:23.86 last_y:1.04 
time:1.4888 rot_x:-2.90 gyro_x:24.42 last_x:0.09 rot_y:-7.84 gyro_x:23.89 last_y:0.90 
time:1.4961 rot_x:-4.30 gyro_x:24.59 last_x:0.17 rot_y:-6.54 gyro_x:23.92 last_y:0.78 
time:1.5034 rot_x:-3.11 gyro_x:24.73 last_x:0.24 rot_y:-4.95 gyro_x:23.93 last_y:0.67 
time:1.5108 rot_x:-3.19 gyro_x:24.86 last_x:0.30 rot_y:-5.68 gyro_x:23.92 last_y:0.53 
time:1.5182 rot_x:-1.62 gyro_x:25.00 last_x:0.40 rot_y:-5.97 gyro_x:23.98 last_y:0.46 
time:1.5256 rot_x:-2.65 gyro_x:25.15 last_x:0.48 rot_y:-3.76 gyro_x:24.06 last_y:0.45 
time:1.5329 rot_x:-2.43 gyro_x:25.25 last_x:0.52 rot_y:-2.56 gyro_x:24.14 last_y:0.47 
time:1.5403 rot_x:-3.33 gyro_x:25.31 last_x:0.50 rot_y:-1.47 gyro_x:24.16 last_y:0.45 
time:1.5477 rot_x:-3.52 gyro_x:25.29 last_x:0.41 rot_y:-1.37 gyro_x:24.15 last_y:0.41 
time:1.5552 rot_x:-5.53 gyro_x:25.27 last_x:0.26 rot_y:-1.52 gyro_x:24.13 last_y:0.35 
time:1.5625 rot_x:-7.36 gyro_x:25.25 last_x:0.09 rot_y:-1.83 gyro_x:24.15 last_y:0.32 
time:1.5700 rot_x:-8.23 gyro_x:25.27 last_x:-0.05 rot_y:-3.76 gyro_x:24.19 last_y:0.28 
time:1.5773 rot_x:-8.97 gyro_x:25.34 last_x:-0.16 rot_y:-6.39 gyro_x:24.27 last_y:0.23 
time:1.5847 rot_x:-7.17 gyro_x:25.45 last_x:-0.20 rot_y:-7.65 gyro_x:24.37 last_y:0.17 
time:1.5921 rot_x:-6.15 gyro_x:25.58 last_x:-0.18 rot_y:-6.70 gyro_x:24.47 last_y:0.13 
