time:1.1488 rot_x:30.17 gyro_x:35.86 last_x:27.87 rot_y:-42.41 gyro_x:-16.07 last_y:-39.69 
time:1.1561 rot_x:28.23 gyro_x:35.85 last_x:27.87 rot_y:-40.33 gyro_x:-15.96 last_y:-39.60 
time:1.1635 rot_x:28.51 gyro_x:35.79 last_x:27.82 rot_y:-40.75 gyro_x:-15.90 last_y:-39.56 
time:1.1708 rot_x:30.70 gyro_x:35.70 last_x:27.79 rot_y:-40.56 gyro_x:-15.84 last_y:-39.52 
time:1.1782 rot_x:31.03 gyro_x:35.62 last_x:27.78 rot_y:-40.31 gyro_x:-15.74 last_y:-39.44 
time:1.1855 rot_x:28.33 gyro_x:35.54 last_x:27.71 rot_y:-39.12 gyro_x:-15.61 last_y:-39.31 
time:1.1928 rot_x:24.85 gyro_x:35.42 last_x:27.54 rot_y:-38.25 gyro_x:-15.49 last_y:-39.16 
time:1.2002 rot_x:25.56 gyro_x:35.25 last_x:27.33 rot_y:-39.21 gyro_x:-15.43 last_y:-39.10 
time:1.2075 rot_x:28.83 gyro_x:35.03 last_x:27.14 rot_y:-42.50 gyro_x:-15.42 last_y:-39.17 
time:1.2148 rot_x:28.87 gyro_x:34.80 last_x:26.95 rot_y:-46.26 gyro_x:-15.43 last_y:-39.31 
time:1.2222 rot_x:28.83 gyro_x:34.61 last_x:26.81 rot_y:-47.15 gyro_x:-15.39 last_y:-39.44 
time:1.2295 rot_x:28.26 gyro_x:34.46 last_x:26.69 rot_y:-47.25 gyro_x:-15.32 last_y:-39.53 
time:1.2368 rot_x:28.06 gyro_x:34.35 last_x:26.61 rot_y:-47.21 gyro_x:-15.20 last_y:-39.55 
time:1.2441 rot_x:28.57 gyro_x:34.28 last_x:26.58 rot_y:-46.13 gyro_x:-15.04 last_y:-39.53 
time:1.2514 rot_x:27.03 gyro_x:34.22 last_x:26.52 rot_y:-45.06 gyro_x:-14.87 last_y:-39.48 
time:1.2588 rot_x:25.13 gyro_x:34.13 last_x:26.41 rot_y:-43.66 gyro_x:-14.72 last_y:-39.42 
time:1.2661 rot_x:25.61 gyro_x:33.98 last_x:26.25 rot_y:-43.13 gyro_x:-14.61 last_y:-39.38 
time:1.2734 rot_x:26.09 gyro_x:33.81 last_x:26.08 rot_y:-45.00 gyro_x:-14.52 last_y:-39.40 
time:1.2808 rot_x:27.33 gyro_x:33.66 last_x:25.95 rot_y:-45.71 gyro_x:-14.40 last_y:-39.42 
time:1.2881 rot_x:27.31 gyro_x:33.53 last_x:25.86 rot_y:-45.58 gyro_x:-14.25 last_y:-39.39 
time:1.2954 rot_x:28.08 gyro_x:33.44 last_x:25.81 rot_y:-43.76 gyro_x:-14.07 last_y:-39.30 
time:1.3027 rot_x:27.95 gyro_x:33.36 last_x:25.78 rot_y:-41.70 gyro_x:-13.89 last_y:-39.17 
time:1.3101 rot_x:26.92 gyro_x:33.29 last_x:25.73 rot_y:-40.52 gyro_x:-13.73 last_y:-39.04 
time:1.3174 rot_x:27.87 gyro_x:33.19 last_x:25.67 rot_y:-39.81 gyro_x:-13.60 last_y:-38.93 
time:1.3247 rot_x:26.78 gyro_x:33.07 last_x:25.58 rot_y:-41.04 gyro_x:-13.51 last_y:-38.88 
time:1.3321 rot_x:27.78 gyro_x:32.95 last_x:25.51 rot_y:-41.42 gyro_x:-13.42 last_y:-38.85 
time:1.3394 rot_x:27.54 gyro_x:32.84 last_x:25.44 rot_y:-42.37 gyro_x:-13.35 last_y:-38.85 
time:1.3468 rot_x:27.66 gyro_x:32.73 last_x:25.37 rot_y:-42.85 gyro_x:-13.30 last_y:-38.88 
time:1.3540 rot_x:27.87 gyro_x:32.62 last_x:25.32 rot_y:-43.15 gyro_x:-13.27 last_y:-38.94 
time:1.3614 rot_x:27.16 gyro_x:32.52 last_x:25.26 rot_y:-43.03 gyro_x:-13.22 last_y:-38.97 
time:1.3688 rot_x:26.55 gyro_x:32.42 last_x:25.18 rot_y:-39.81 gyro_x:-13.17 last_y:-38.94 
time:1.3761 rot_x:20.54 gyro_x:32.30 last_x:24.98 rot_y:-36.18 gyro_x:-13.12 last_y:-38.83 
time:1.3834 rot_x:18.75 gyro_x:32.10 last_x:24.66 rot_y:-34.44 gyro_x:-13.09 last_y:-38.71 
time:1.3908 rot_x:18.63 gyro_x:31.75 last_x:24.19 rot_y:-37.12 gyro_x:-13.20 last_y:-38.79 
time:1.3981 rot_x:21.54 gyro_x:31.25 last_x:23.65 rot_y:-47.52 gyro_x:-13.45 last_y:-39.21 
time:1.4054 rot_x:23.86 gyro_x:30.73 last_x:23.14 rot_y:-57.76 gyro_x:-13.73 last_y:-39.85 
time:1.4128 rot_x:29.13 gyro_x:30.33 last_x:22.87 rot_y:-60.62 gyro_x:-13.95 last_y:-40.48 
time:1.4201 rot_x:30.95 gyro_x:30.19 last_x:22.89 rot_y:-58.60 gyro_x:-13.96 last_y:-40.86 
time:1.4274 rot_x:32.61 gyro_x:30.36 last_x:23.25 rot_y:-57.39 gyro_x:-13.72 last_y:-40.95 
time:1.4348 rot_x:31.35 gyro_x:30.75 last_x:23.80 rot_y:-53.04 gyro_x:-13.28 last_y:-40.76 
time:1.4421 rot_x:29.84 gyro_x:31.28 last_x:24.44 rot_y:-42.88 gyro_x:-12.79 last_y:-40.33 
time:1.4494 rot_x:25.64 gyro_x:31.73 last_x:24.90 rot_y:-36.68 gyro_x:-12.39 last_y:-39.86 
